,"TO EDIT: Please select ""Make a copy"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Item Name,Item ID,Version Added,Order Added,Creative Only,OP Only,Commands Only,Max Stack,Renewable,Infinitely Automatically Farmable,,Has a Block Form,,Has an Entity Form,Durability,Fuel Time,XP from Cooking,Enchantability,Mining Speed Multiplier,Mining Level,Melee Attack Damage,Melee Attack Speed,Defence,Toughness,Knockback Resistance,Wearable,Edible,Can be Eaten with Full Hunger,Hunger Filled,Saturation Filled,Fire Resistant,Blast Resistant,Lures Entites when Held,Unique Dispenser Interaction,Can be Used in an Enchanting Table,Sold by Villagers,Sold to Villagers,Sold by Wandering Traders,Sold to Wandering Traders,Can Have Enchantments,Used in Crafting,Obtainable from Crafting,Can Repair Gear,Can be Cooked,,,Obtainable From Cooking,"Has a Unique ""Use"" Function",Rarity,,,,Seperate Item Icon,Has Data Components,
,,,,,,,,,,Any Method,Player Interactions Required,Identical ID,By Pick Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Furnace,Smoker/Campfire,Blast Furnace,,,Common,Uncommon,Rare,Epic,,,
1892,,,,,198/1892,47/1892,13/1892,,1562/1892,1429/1892,577/1892,1013/1892,1043/1892,240/1892,,,,,,,,,,,,38/1892,98/1892,63/1892,,,13/1892,1/1892,52/1892,375/1892,70/1892,341/1892,74/1892,88/1892,6/1892,211/1892,685/1892,1005/1892,23/1892,139/1892,9/1892,56/1892,60/1892,1723/1892,1622/1892,90/1892,143/1892,37/1892,263/1892,404/1892,0
,Air,air,1.7.2 13w38b,595,TRUE,TRUE,TRUE,N/A,No,No,FALSE,TRUE,FALSE,FALSE,N/A,N/A,N/A,N/A,1,0,1,4,N/A,N/A,N/A,FALSE,FALSE,FALSE,N/A,N/A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1
,Cobblestone,cobblestone,Pre-Classic rd-20090515,3,FALSE,FALSE,FALSE,64,Yes,Yes,FALSE,TRUE,TRUE,FALSE,N/A,N/A,0.1,N/A,1,0,1,4,N/A,N/A,N/A,FALSE,FALSE,FALSE,N/A,N/A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2
,Cobblestone Slab,cobblestone_slab,Beta 1.3,201,FALSE,FALSE,FALSE,64,Yes,Yes,FALSE,TRUE,TRUE,FALSE,N/A,N/A,N/A,N/A,1,0,1,4,N/A,N/A,N/A,FALSE,FALSE,FALSE,N/A,N/A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3
,Cobblestone Stairs,cobblestone_stairs,Infdev 20100629,129,FALSE,FALSE,FALSE,64,Yes,Yes,FALSE,TRUE,TRUE,FALSE,N/A,N/A,N/A,N/A,1,0,1,4,N/A,N/A,N/A,FALSE,FALSE,FALSE,N/A,N/A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4
,Cobblestone Wall,cobblestone_wall,1.4.2 12w34a,387,FALSE,FALSE,FALSE,64,Yes,Yes,FALSE,TRUE,TRUE,FALSE,N/A,N/A,N/A,N/A,1,0,1,4,N/A,N/A,N/A,FALSE,FALSE,FALSE,N/A,N/A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5
,Infested Cobblestone,infested_cobblestone,Beta 1.8 Pre-Release,221,TRUE,FALSE,FALSE,64,No,No,FALSE,TRUE,TRUE,FALSE,N/A,N/A,N/A,N/A,1,0,1,4,N/A,N/A,N/A,FALSE,FALSE,FALSE,N/A,N/A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
